ID,Package,Primary Crate,Primary Output,First Target Phase,Exit Gate
WP-A01,Agent core types,aero-codex-agent-core,"IDs tool specs errors CVTs retrieval trace summaries",0.001,"Types exist and no domain dependency exists"
WP-A02,Evidence card agent extension,aero-codex-validation,"agent metadata parser and lints",0.005,"Exposed tools require tool names and schemas"
WP-A03,Tool schema generator,aero-codex-agent-schema,"JSON schema generation",0.005,"Normal shock input schema validates example JSON"
WP-A04,Registration macros,aero-codex-macros,"codex_tool and related macros",0.01,"One function registered without duplicated metadata"
WP-A05,Registry builder,aero-codex-agent-registry,"agent registry and manifest",0.01,"Build fails on missing evidence schema Codex ID"
WP-A06,CVT generator,aero-codex-agent-index,"companion vector token JSONL",0.1,"Every exposed entry has at least one CVT"
WP-A07,Hybrid search,aero-codex-agent-retrieval,"lexical alias symbol metadata vector retrieval",0.1,"Normal shock query retrieves correct tool"
WP-A08,Capability graph,aero-codex-agent-registry,"workflow graph",0.1,"Atmosphere to flow state to shock chain exists"
WP-A09,Tool invocation engine,aero-codex-agent-tools,"safe JSON invocation",0.5,"JSON invokes typed Rust and returns structured output"
WP-A10,Explain mode,aero-codex-agent-tools,"explain response builder",0.5,"Assumptions equations sources validity returned"
WP-A11,Verify mode,aero-codex-agent-tools,"verify response builder",0.5,"Evidence and test status returned"
WP-A12,Trace system,aero-codex-agent-trace,"trace write read replay diff",0.5,"Trace replays without LLM"
WP-A13,Local tool server,aero-codex-agent-server,"localhost structured server",0.9,"List search invoke trace works locally"
WP-A14,Agent CLI,aero-codex-agent-cli,"developer commands",0.005,"Developer can exercise first trust loop from terminal"
WP-A15,CI and release gates,workspace,"agent index schema retrieval trace CI",0.9,"Agent registry builds deterministically in CI"
